StudentID,FullName,ProgrammeCode,YearOfStudy,CGPA,ContactNumber
TP143334,Ahmad binti Musa,CT101,3,1.72,016-8373193
TP185000,Syafiq binti Musa,PM101,3,2.03,014-7944666
TP162424,Krishnan Appalasamy,BM104,1,2.3,018-8996197
TP130389,Ling Chua,EE104,4,3.9,014-8542617
TP139005,Zainab bin Hassan,CT103,3,2.91,018-4588215
TP162279,Nurul binti Musa,CT101,3,3.57,011-9791364
TP110677,Naim bin Ibrahim,DT102,2,2.64,014-9027540
TP133876,Siti bin Razali,BM105,2,2.7,019-9942890
TP197663,Farid binti Yusof,DT101,3,2.72,016-9418402
TP139448,Hafiz binti Ibrahim,EE104,1,2.84,013-7315237
TP183542,Nurul bin Abdullah,CT102,3,2.01,017-6110372
TP196843,Li Ng,BM105,2,3.12,017-9733477
TP140308,Xiao Loh,BM104,2,3.53,016-8317434
TP147434,Azri bin Ibrahim,CT106,2,2.18,013-6298627
TP144940,Ismail binti Yusof,EE101,4,2.73,013-7664134
TP116717,Azman bin Othman,BM101,1,2.64,012-3020694
TP183256,Ming Goh,CT101,4,2.39,018-4281367
TP139694,Zainab binti Ibrahim,CT102,4,3.66,011-6873067
TP128157,Siti binti Zainal,DT101,3,2.95,013-2581875
TP159952,Nabilah binti Othman,CT106,2,2.26,013-8261784
TP155836,Hao Goh,BM104,3,2.63,018-4197376
TP158121,Malika bin Ahmad,CT105,1,2.5,014-5705920
TP178513,Faizal binti Razali,CT106,1,2.86,013-7814692
TP153089,Aisyah bin Ismail,BM101,3,3.4,014-6000460
TP198058,Yong Tan,BM104,2,2.86,018-8830245
TP110729,Ming Loh,CT105,2,1.69,017-1107333
TP162489,Kai Goh,CT107,1,3.95,013-6466803
TP122669,Syafiq binti Zainal,HS101,3,3.74,013-3484325
TP189155,Hui Yap,DT103,1,2.53,018-1156345
TP162248,Zulkifli binti Abdullah,EE105,1,3.18,019-4690430
TP156087,Muthu Sharma,HS102,3,3.3,013-9725065
TP161910,Aisyah binti Abdullah,CT103,3,3.65,018-7241058
TP110155,Siti bin Kamaruddin,CT107,1,2.26,016-5041252
TP137023,Izzat bin Zainal,CT105,2,2.12,012-3192824
TP122593,Syazwani bin Othman,CT107,1,3.42,016-3597328
TP184396,Liyana bin Ibrahim,CT103,2,3.74,014-2824376
TP177004,Hanis bin Kamaruddin,EE103,1,3.46,017-7816815
TP152058,Haziq bin Hassan,CT101,3,2.24,013-3426109
TP176662,Muhammad binti Kamaruddin,BM103,3,2.93,012-7207035
TP121783,Yong Yap,CT101,1,2.67,017-3173994
TP193676,Xin Ong,BM103,2,2.93,012-9676012
TP145080,Le Goh,DT102,2,3.44,014-4364961
TP105074,Peng Chong,CT104,4,1.18,012-4273079
TP151078,Krishnan Krishnan,BM103,3,2.21,018-1519094
TP150507,Ling Tan,CT102,1,3.48,013-6459171
TP180891,Xiao Chew,EE103,3,3.25,016-6172308
TP138157,Izzati binti Ismail,BM104,3,2.77,012-3994303
TP183752,Farhana bin Hassan,CT103,2,3.15,012-6880891
TP137351,Abdullah bin Ibrahim,CT106,1,2.92,018-7687790
TP196702,Dalila binti Yusof,CT102,3,2.98,011-3823861
TP100393,Amirul bin Othman,BM105,2,2.75,017-6677710
TP122147,Zulkifli bin Ismail,EE101,3,2.03,014-2446110
TP103151,Amirah bin Razali,BM104,3,2.94,017-1417740
TP109390,Azman bin Ismail,CT104,4,3.17,017-6780168
TP168144,Hafiz bin Zainal,CT106,2,3.12,012-3781765
TP123772,Farah binti Yusof,CT107,1,3.71,013-3343352
TP100280,Nithya Raju,CT106,2,3.67,017-1861673
TP120097,Ravi Appalasamy,CT104,4,2.66,016-4235031
TP178055,Ibrahim binti Othman,CT105,3,3.52,016-9575393
TP168740,Naim bin Ahmad,BM101,2,2.44,012-7473886
TP183136,Ahmad bin Razali,CT107,1,2.63,019-8175395
TP157268,Xin Wong,BM101,2,3.82,019-7714797
TP182775,Dalila binti Ismail,BM105,3,2.12,011-8279187
TP138828,Faizal binti Ibrahim,CT103,4,3.33,017-7601176
TP139822,Hao Tan,BM101,3,3.41,013-8455810
TP128250,Nabilah binti Abdullah,EE101,3,3.53,014-5053585
TP176590,Malika bin Othman,EE101,1,1.02,011-5808376
TP137089,Haziq binti Othman,EE102,2,3.99,014-8566133
TP166507,Farhana bin Ahmad,HS101,1,3.64,018-8340889
TP124691,Azri bin Hassan,BM101,3,2.89,018-8916526
TP146034,Ganesh Nadarajan,DT102,1,3.12,018-9601744
TP170194,Ming Yap,CT106,1,2.41,013-7875833
TP148994,Le Chew,DT101,2,2.75,012-3387344
TP124599,Muhammad bin Abdullah,EE103,3,2.61,014-6580291
TP143580,Liyana bin Razali,CT102,1,2.04,011-3725737
TP169230,Tian Wong,PM102,1,3.59,013-7320889
TP139629,Tian Teh,BM103,1,2.74,012-3353034
TP132660,Amirah bin Abdullah,DT103,2,2.14,017-1885793
TP198133,Tian Ng,BM101,3,3.14,018-5810495
TP103139,Zainab binti Kamaruddin,CT103,3,3.76,017-9288918
TP192227,Farid binti Yusof,CT104,2,1.9,011-5956054
TP147488,Tian Loh,CT102,1,3.01,014-7116790
TP103102,Ismail bin Abdullah,CT103,4,3.28,011-8677411
TP102469,Ling Wong,CT107,1,3.62,018-9868924
TP129138,Zi Yong,BM104,2,3.08,013-6743279
TP133102,Hao Chan,CT102,1,2.78,011-6158273
TP127782,Harish Balakrishnan,BM102,2,3.12,019-1058973
TP141470,Athirah bin Ibrahim,CT101,1,3.29,011-6016736
TP186727,Zainab binti Kamaruddin,EE104,3,3.3,018-6120113
TP143527,Liyana bin Zainal,CT101,2,2.6,012-8968295
TP119160,Nabilah bin Ismail,CT107,1,2.26,016-7311620
TP141955,Lavanya Sharma,CT103,2,3.67,016-9180731
TP160311,Ramesh Raju,PM102,1,3.7,011-5922042
TP104334,Zulkifli binti Othman,DT103,1,3.47,012-1671182
TP162498,Amirah bin Musa,EE103,3,3.73,013-8421458
TP197324,Yong Ng,CT106,1,3.62,012-6267324
TP134236,Syafiq binti Kamaruddin,CT105,1,2.57,012-4660626
TP117121,Syazwani binti Abdullah,BM103,2,3.37,014-2205797
TP110321,Ravi Nadarajan,CT102,4,2.62,014-2191726
TP153094,Farhana bin Othman,BM104,3,3.17,014-8348995
TP192871,Chen Cheong,BM101,1,2.97,014-4102136
TP149309,Jia Cheong,PM102,2,3.29,011-1065955
TP156070,Farhana bin Ismail,BM101,3,2.25,018-3371734
TP150948,Tian Chong,CT106,1,3.53,017-1358552
TP137507,Amirah bin Abdullah,CT104,4,3.81,018-5671535
TP199535,Hui Chua,CT106,2,2.4,013-6328404
TP137725,Wei Yong,CT105,1,3.68,012-9076482
TP154319,Hui Wong,CT106,1,1.88,019-3156544
TP138140,Fang Ong,DT103,1,2.18,017-1890987
TP123177,Ismail binti Razali,CT103,1,2.63,019-9297653
TP171142,Muthu Devaraj,CT101,2,2.66,014-2983908
TP124780,Deepa Vellu,CT101,3,3.17,017-9156216
TP182839,Nabilah bin Zainal,EE102,2,3.74,016-3056501
TP189918,Farid bin Zainal,BM101,1,2.65,014-6640473
TP189317,Dalila bin Ibrahim,HS101,3,2.59,018-2781055
TP180561,Farhana bin Musa,EE105,1,2.18,013-4127830
TP105607,Hanis binti Ahmad,CT101,4,3.7,011-4635102
TP197858,Malika binti Kamaruddin,CT101,1,3.13,013-8245643
TP147100,Amirah binti Abdullah,EE101,4,3.64,016-4368733
TP188958,Xin Foo,EE102,3,3.4,016-6008454
TP179202,Hafiz binti Ibrahim,HS102,2,2.99,016-2492527
TP135224,Tian Goh,BM104,2,3.64,019-6563788
TP182795,Xiao Chan,BM104,1,3.8,019-9709954
TP137908,Farid binti Musa,EE102,2,2.93,019-9293939
TP117589,Zulkifli binti Ahmad,BM104,2,2.02,012-4250421
TP112115,Azri binti Ismail,DT103,1,3.33,019-3462040
TP175546,Hafiz binti Ahmad,CT105,3,3.64,016-9821369
TP143227,Athirah bin Musa,CT103,1,3.03,017-7873688
TP179661,Izzat binti Musa,CT104,4,2.07,013-4085505
TP114715,Azman binti Ahmad,CT101,1,1.97,019-9381152
TP124451,Faizal bin Abdullah,BM103,1,1.16,011-6481762
TP189569,Nur binti Kamaruddin,CT104,3,2.54,018-3977429
TP127069,Kumar Sharma,EE101,2,2.4,016-2154074
TP198675,Amirah binti Ismail,BM105,1,3.98,017-1442661
TP146235,Anand Nair,BM102,2,2.68,018-8407227
TP198916,Nurul binti Abdullah,EE105,1,2.89,012-7316739
TP145070,Farhana binti Yusof,CT101,1,2.31,017-8725565
TP108985,Yu Yap,CT102,1,2.83,019-6865863
TP104645,Ming Tan,CT101,4,3.05,018-1804198
TP152893,Jun Lee,EE104,1,2.19,014-9422117
TP131059,Izzat binti Abdullah,CT101,3,3.94,019-2327566
TP145255,Vijay Appalasamy,CT103,3,3.3,016-8334843
TP117447,Abdullah bin Ismail,CT105,3,2.32,014-2605210
TP103097,Zainab bin Zainal,CT102,2,2.58,013-3152678
TP141344,Ismail binti Razali,BM102,1,3.21,018-4409769
TP193314,Yu Chin,HS101,1,2.45,017-8325323
TP184069,Siti bin Kamaruddin,CT101,3,3.26,017-6169762
TP151622,Zulkifli bin Razali,CT106,1,2.12,019-8743753
TP166833,Syazwani bin Zainal,CT103,2,1.01,014-9824743
TP172251,Siti binti Kamaruddin,CT104,4,3.64,019-8447192
TP130988,Haziq binti Zainal,BM104,2,3.24,013-6461404
TP118045,Zi Chua,PM102,2,3.06,016-5414119
TP144416,Ming Cheong,BM101,1,3.27,017-7180925
TP185035,Rizal binti Zainal,BM104,3,1.93,012-7586583
TP114042,Ismail bin Kamaruddin,BM102,1,3.57,011-8449100
TP195873,Haziq binti Ismail,CT103,1,2.06,019-4356854
TP190727,Chen Yap,CT103,3,3.63,018-9139529
TP121794,Tian Ng,CT106,1,3.35,019-7878490
TP191051,Liyana bin Abdullah,CT106,1,2.77,012-1467697
TP122306,Li Leong,CT106,1,3.47,018-2370673
TP117274,Mala Balakrishnan,CT105,1,3.29,019-7481955
TP114665,Zainab binti Ismail,EE101,3,3.66,014-1253094
TP127356,Ahmad binti Razali,BM105,1,3.63,012-2017515
TP194652,Farid binti Othman,CT101,4,2.85,016-8965918
TP119203,Abdullah bin Ahmad,CT101,4,1.56,011-1322484
TP192447,Le Chin,BM105,1,2.74,017-8443048
TP110275,Farah bin Zainal,EE105,2,3.43,019-6097822
TP170010,Yu Lee,CT101,1,3.18,019-2995704
TP151493,Yu Leong,EE102,4,2.64,018-6580328
TP125691,Suresh Raju,PM102,1,2.87,018-2834387
TP134985,Shanti Pillai,CT103,1,3.57,012-1667034
TP199646,Hao Lim,CT106,2,2.9,013-3368994
TP148458,Hafiz binti Musa,CT105,2,2.82,013-9475883
TP169223,Rizal bin Othman,HS101,3,2.62,011-8882614
TP165998,Farhana bin Kamaruddin,CT106,2,2.19,012-6299812
TP157950,Fang Wong,EE102,2,1.93,014-9168043
TP135395,Farhana bin Kamaruddin,EE102,4,3.24,012-2060856
TP187598,Athirah binti Yusof,CT106,2,3.51,018-7842410
TP196479,Xin Lim,CT102,4,2.52,019-2412683
TP144667,Farah binti Othman,CT105,3,3.48,012-7504882
TP129087,Yu Chin,EE105,1,2.2,011-6350866
TP142852,Aisyah bin Abdullah,EE103,3,2.85,018-3968753
TP185464,Xiao Chin,DT102,1,2.1,018-8414050
TP121621,Xiao Goh,DT102,3,2.54,014-2328098
TP111238,Jun Yong,EE101,3,3.3,013-1647534
TP185372,Yu Chua,CT106,1,3.77,012-3776007
TP111989,Farid bin Zainal,DT102,2,2.79,014-1610024
TP181857,Jing Yap,CT104,1,2.79,017-6553401
TP165774,Izzat binti Ahmad,BM104,1,2.56,012-3140882
TP143040,Wei Goh,DT101,3,2.58,018-8310713
TP100979,Yu Ng,CT105,1,3.63,013-8081912
TP134503,Yong Chin,CT103,4,3.67,019-7656746
TP128797,Farid bin Hassan,CT102,1,2.71,017-9718012
TP115581,Raj Sharma,CT103,1,2.81,014-7160963
TP111113,Tian Leong,EE102,3,2.61,013-4420705
TP165058,Tian Koh,DT101,1,1.67,012-7144379
TP181583,Le Koh,CT106,1,2.01,013-9130904
TP163032,Anand Sundaram,CT102,4,2.14,016-5522943
TP164070,Amirul binti Zainal,CT101,4,2.98,018-8486446
TP129739,Tian Foo,EE104,2,2.37,011-9126853
TP175502,Mala Raju,BM105,2,1.48,011-8173476
TP175329,Sanjay Ramasamy,DT101,2,3.45,019-1831495
TP127768,Hui Tan,BM101,2,2.11,013-7237120
TP148545,Ibrahim binti Zainal,CT103,3,3.28,011-3466706
TP157693,Wei Loh,EE102,1,2.55,018-9563324
TP173861,Hao Yap,EE103,4,2.8,012-6180176
TP182965,Fang Chan,HS101,1,2.47,016-1790085
TP163809,Wei Leong,CT105,1,3.4,012-1892435
TP188366,Fang Lee,CT103,4,2.9,014-5758921
TP161621,Aisyah binti Ismail,CT101,1,3.03,014-2739191
TP129341,Farhana bin Musa,DT101,1,2.46,014-1217971
TP112530,Hanis bin Musa,CT106,2,3.2,019-2490802
TP182858,Dalila binti Ismail,CT105,1,2.61,014-6857527
TP110578,Zainab bin Hassan,CT102,4,3.71,019-4872178
TP153578,Zi Chan,DT102,1,2.86,011-8037243
TP160700,Zainab binti Ibrahim,EE105,1,2.4,019-1461417
TP168430,Liyana bin Othman,BM101,3,3.72,017-6681871
TP138673,Faizal binti Othman,CT101,1,2.15,017-8624615
TP173179,Zulkifli binti Yusof,DT102,3,3.72,018-6872162
TP138411,Jing Ng,CT103,4,2.48,019-9888385
TP102583,Zulkifli bin Ismail,CT102,2,2.97,013-2819373
TP171144,Farid binti Musa,EE101,2,2.73,019-5674305
TP184014,Hao Wong,HS102,3,2.53,016-2577439
TP142957,Naim bin Kamaruddin,CT101,2,3.44,019-4450093
TP186514,Sanjay Ramasamy,CT101,4,1.03,012-2289535
TP132901,Jun Ong,CT106,2,3.72,018-2263856
TP149325,Yu Foo,EE102,3,2.63,012-2024328
TP179587,Liyana bin Hassan,PM101,3,1.21,013-7511433
TP197867,Peng Wong,EE101,2,3.33,016-8350446
TP144700,Liyana bin Othman,BM101,1,3.42,018-5403386
TP153967,Syafiq binti Abdullah,DT102,3,2.69,018-4700926
TP116558,Dalila bin Ibrahim,EE103,4,2.3,013-3509346
TP156254,Xiao Ng,CT105,3,2.85,019-7852681
TP185300,Dalila bin Razali,CT106,1,1.5,011-6338020
TP115585,Anand Sharma,BM104,2,1.34,016-2191417
TP197761,Abdullah binti Zainal,EE105,1,2.18,013-9131046
TP188534,Syazwani bin Musa,CT101,1,2.93,016-7850943
TP110875,Ming Lim,CT101,4,3.45,013-5480019
TP196730,Ganesh Chandran,CT104,1,2.54,011-2744174
TP170090,Yong Foo,CT105,1,3.64,017-1130344
TP166345,Abdullah bin Razali,EE104,1,3.67,013-1384638
TP164174,Ismail bin Musa,EE103,3,2.81,017-6972940
TP118434,Ravi Subramaniam,BM104,1,1.7,012-5175938
TP171183,Xiao Wong,CT101,2,1.22,012-2043546
TP173718,Mala Ramasamy,CT105,3,2.82,016-5114964
TP139290,Hao Loh,HS101,2,1.67,018-4949458
TP159661,Nur bin Zainal,BM103,2,3.43,012-8656334
TP167622,Nadia bin Ahmad,EE104,2,2.4,018-8699558
TP170117,Chen Lim,BM101,1,3.01,018-3208436
TP176533,Izzat binti Ismail,BM101,3,2.42,018-9374561
TP176227,Suresh Vellu,BM105,1,3.72,016-4592670
TP134282,Malika binti Zainal,BM105,1,2.46,012-3915209
TP109635,Malika bin Ismail,BM101,2,1.95,012-4739277
TP115739,Mala Nair,CT105,1,2.73,018-2428326
TP121715,Jun Chin,CT105,2,3.53,014-2994044
TP121176,Muhammad bin Musa,EE104,3,3.12,019-2954191
TP132334,Aisyah binti Ahmad,CT102,3,3.02,017-5998699
TP170957,Mala Chandran,BM105,2,2.75,019-1327250
TP140293,Xiao Chong,DT102,3,2.77,012-8825493
TP170459,Azri bin Musa,DT102,1,2.99,011-1406957
TP120439,Ramesh Arumugam,EE101,2,3.49,019-3629488
TP163416,Hafiz bin Hassan,CT101,3,3.7,012-5798958
TP110029,Nabilah binti Zainal,DT102,2,2.61,016-3464787
TP101581,Ravi Selvam,PM102,2,3.33,019-2224599
TP188569,Ling Cheong,EE103,3,3.9,014-7768664
TP109060,Izzati binti Musa,BM101,3,3.02,016-7304047
TP150887,Hanis bin Zainal,CT106,2,3.71,019-2363464
TP180480,Ming Leong,CT103,1,2.53,011-9745817
TP115866,Tian Leong,CT107,1,2.84,013-8103902
TP177003,Azri binti Ismail,CT106,2,3.59,011-5802367
TP139278,Vijay Nair,CT102,3,3.06,019-6267528
TP158107,Aisyah bin Hassan,BM102,1,3.9,012-6950477
TP164294,Hao Loh,EE104,4,2.88,016-7488438
TP188023,Farid binti Musa,CT101,1,2.91,019-4871710
TP130787,Nithya Subramaniam,EE101,2,2.59,018-6712272
TP178702,Chen Chin,BM104,1,2.17,014-5731742
TP193944,Jing Lee,HS101,3,3.03,011-2524494
TP112870,Jia Yap,CT103,3,1.79,013-4679603
TP159067,Ismail binti Ibrahim,CT104,1,1.1,016-7641159
TP105631,Dalila binti Musa,EE104,2,2.37,013-9286386
TP152235,Amirul bin Abdullah,EE101,2,1.81,017-9574111
TP134890,Farhana bin Ismail,PM102,2,2.27,012-8749931
TP180469,Le Koh,CT105,2,2.15,013-4400030
TP127333,Nadia binti Abdullah,BM101,2,3.62,019-3636891
TP134168,Priya Chandran,DT102,3,3.54,019-8877725
TP114599,Wei Ng,CT106,1,2.45,011-8241911
TP180635,Ramesh Murugasen,CT102,1,3.69,013-7381798
TP169677,Xiao Loh,CT107,1,1.8,013-3422392
TP163678,Liyana bin Abdullah,CT106,2,3.3,017-9378702
TP117514,Xin Wong,CT104,1,2.54,016-5753898
TP168365,Farhana binti Ibrahim,EE103,4,2.9,016-9307691
TP187569,Naim binti Ahmad,EE101,4,3.19,017-2306229
TP130897,Ibrahim binti Ibrahim,CT103,1,3.62,013-4385595
TP178764,Liyana binti Zainal,CT103,3,3.23,012-4478049
TP184211,Naim bin Ismail,BM105,3,3.79,017-3321022
TP170506,Nur bin Hassan,CT105,1,3.78,013-1960425
TP157495,Farhana bin Ahmad,BM102,1,2.6,012-7578658
TP100762,Nurul binti Abdullah,CT101,2,3.47,012-7751464
TP189427,Xiao Chin,EE104,1,2.2,013-9461407
TP196445,Nadia binti Ibrahim,DT101,1,1.36,012-7748633
TP191021,Syafiq binti Musa,CT106,2,1.27,017-4016494
TP187779,Ming Yap,EE103,3,3.05,017-5236865
TP165725,Ismail binti Abdullah,CT105,2,2.71,013-2651294
TP104986,Zulkifli bin Ibrahim,CT107,1,2.54,013-5745746
TP150394,Muhammad binti Zainal,DT102,1,2.42,019-4639030
TP122853,Nabilah binti Ismail,BM103,1,3.94,012-7822331
TP145403,Kumar Selvam,BM104,2,3.25,019-6560332
TP180724,Ibrahim binti Zainal,CT104,1,2.6,012-8697110
TP185591,Ibrahim bin Kamaruddin,BM101,2,2.37,019-2267103
TP153950,Hafiz binti Razali,EE101,4,3.23,016-2007694
TP191309,Kai Chong,CT102,4,3.4,013-4319510
TP132459,Ahmad bin Abdullah,EE103,4,2.59,014-5869186
TP184568,Wei Koh,EE103,3,1.51,019-8891176
TP172503,Zi Yong,EE103,3,3.1,016-2383047
TP193061,Haziq binti Ahmad,CT102,1,3.85,019-3258890
TP102484,Azri bin Zainal,EE103,4,2.58,013-5477859
TP168783,Kavitha Krishnan,CT104,1,2.21,016-3760410
TP134732,Deepa Arumugam,CT106,1,2.62,017-6118708
TP157817,Hanis binti Zainal,EE105,2,1.86,013-4451602
TP104371,Aisyah bin Ismail,EE104,3,2.63,014-5463168
TP191458,Nadia binti Othman,BM102,3,1.48,012-4415085
TP122336,Deepa Maniam,HS103,4,3.65,011-8199144
TP187158,Amirul bin Ibrahim,CT103,2,2.77,011-3656601
TP174993,Farhana bin Hassan,EE101,3,2.88,011-7032073
TP178225,Hafiz binti Zainal,BM104,3,2.72,018-4068107
TP176963,Nur binti Musa,EE104,2,2.78,013-2491493
TP165399,Peng Teh,CT106,1,3.02,018-9321835
TP188390,Tian Leong,CT106,2,2.2,013-1515924
TP127487,Nadia bin Hassan,BM104,3,2.97,017-2936178
TP169446,Azri bin Hassan,CT105,1,3.48,019-3402902
TP164497,Izzati bin Ahmad,BM105,2,2.15,018-3384358
TP111627,Liyana binti Othman,CT107,1,3.38,019-7044855
TP130007,Peng Teh,BM105,3,3.0,012-3743779
TP179411,Jun Ng,EE104,1,3.68,012-3925298
TP113411,Aisyah bin Ibrahim,CT107,1,2.78,019-9190007
TP171317,Izzat binti Musa,HS103,2,3.52,013-4771144
TP135326,Izzati binti Zainal,BM103,1,3.11,019-7379467
TP189578,Izzati bin Razali,DT102,2,3.38,019-7093393
TP173667,Farhana binti Zainal,EE104,2,2.77,017-6048457
TP163618,Ling Chong,EE104,3,2.57,014-4755341
TP192091,Ravi Nadarajan,EE101,4,2.61,018-6949183
TP102391,Zi Loh,CT105,3,2.85,012-5475464
TP176731,Ibrahim binti Ibrahim,CT105,2,3.38,013-8739352
TP190872,Siti binti Abdullah,BM101,1,2.93,017-2937072
TP159757,Faizal binti Kamaruddin,EE101,1,3.63,013-7557770
TP150343,Dalila binti Ismail,CT106,1,3.27,016-7902733
TP192468,Ismail bin Abdullah,CT104,1,3.03,014-3124068
TP153879,Zi Loh,CT104,3,3.6,011-5583633
TP175017,Le Chua,EE102,2,2.05,014-9208666
TP187945,Jing Chua,BM104,2,2.18,019-5634631
TP103219,Azman bin Ismail,BM101,3,3.57,019-4470657
TP130210,Rizal bin Hassan,CT103,1,2.92,018-1599066
TP144981,Nurul bin Kamaruddin,EE104,3,2.83,013-4927365
TP183085,Haziq bin Ibrahim,BM104,3,2.5,019-6454358
TP139515,Zainab binti Razali,BM105,3,2.82,013-5741866
TP118111,Le Yap,CT107,1,2.96,014-4370359
TP180912,Zi Chong,DT101,2,2.62,013-4755317
TP186260,Izzat bin Ibrahim,CT106,1,3.53,013-8813891
TP107560,Izzati bin Zainal,CT104,1,3.61,016-7179525
TP121114,Yu Chua,EE105,1,3.28,012-8082260
TP103514,Jun Foo,PM102,2,2.75,018-4799937
