StudentID,FullName,ProgrammeCode,YearOfStudy,CGPA,ContactNumber
TP191071,Haziq binti Razali,EE103,3,3.56,017-8878206
TP179936,Amirul bin Othman,CT103,4,3.23,014-4545665
TP180634,Farhana bin Othman,PM101,1,3.7,014-7709826
TP168418,Syazwani binti Musa,CT103,1,3.26,016-3097854
TP119880,Dalila binti Zainal,CT102,1,2.61,019-6755113
TP150935,Rizal binti Ahmad,BM104,3,2.28,018-3275983
TP174649,Fang Ng,CT106,1,1.64,017-7178298
TP153429,Ismail binti Yusof,EE105,2,2.72,011-4275285
TP180329,Zulkifli bin Razali,BM102,3,2.34,012-3328699
TP101660,Ling Chan,EE101,3,2.88,016-3801173
TP158916,Jing Yong,CT101,3,3.55,012-4095202
TP171434,Le Koh,CT104,2,3.61,013-2357720
TP157666,Li Chong,CT103,3,2.72,019-5204511
TP141182,Vijay Arumugam,CT106,2,3.63,012-8788907
TP133603,Nur binti Ismail,CT105,2,2.93,012-8159428
TP160882,Nurul bin Ismail,CT102,3,2.4,014-4629999
TP187160,Shanti Murugasen,BM105,2,2.74,017-1526622
TP192716,Muthu Devaraj,CT101,2,3.31,018-5596079
TP155317,Xiao Chew,CT104,4,3.68,016-1146125
TP186397,Farah binti Othman,CT104,3,2.24,019-6456799
TP116667,Tian Goh,HS102,3,3.62,017-1859735
TP183359,Muthu Selvam,PM102,1,2.68,012-9356367
TP151148,Hao Chua,BM103,2,1.68,013-6142983
TP151924,Chen Foo,CT102,4,2.71,014-7731087
TP179903,Ibrahim bin Ibrahim,CT103,1,3.85,019-8896174
TP199727,Priya Nair,DT103,3,3.16,013-1607664
TP175429,Siti bin Razali,BM102,1,2.88,018-4847454
TP161533,Lavanya Nair,CT101,1,3.33,013-9846524
TP162797,Syazwani bin Zainal,CT104,3,2.73,012-7482577
TP124621,Harish Balakrishnan,CT107,1,3.27,017-3331197
TP186448,Nadia bin Musa,BM105,2,1.69,014-7977603
TP161739,Amirul bin Razali,DT101,2,3.53,014-8914861
TP125857,Ahmad binti Othman,DT102,3,3.34,017-9777869
TP191888,Ismail bin Ahmad,CT102,2,3.72,017-5060243
TP132821,Siti bin Othman,CT102,1,2.77,013-4691166
TP185922,Siti binti Ibrahim,CT102,3,3.73,014-5021420
TP117864,Kavitha Pillai,BM103,3,3.32,019-5625861
TP124850,Xin Foo,CT104,3,3.22,013-7201152
TP192920,Aisyah binti Zainal,CT105,1,3.2,013-6305964
TP134524,Azri bin Othman,CT101,4,3.67,018-1953876
TP143861,Rizal binti Yusof,BM103,2,3.31,016-5201613
TP100558,Farah bin Ibrahim,CT107,1,3.45,018-4651932
TP188519,Muhammad bin Othman,CT101,3,3.83,012-2180688
TP126065,Izzati binti Kamaruddin,HS103,3,3.17,017-6958780
TP126958,Hao Chong,CT105,3,2.65,014-9430131
TP189153,Siti binti Razali,BM104,1,1.26,016-4981804
TP174161,Fang Yong,BM105,2,2.55,011-4914876
TP113958,Kai Goh,EE105,2,2.45,017-7923034
TP102813,Azri bin Ismail,CT106,2,3.66,016-7417287
TP141312,Nadia binti Kamaruddin,BM105,2,3.31,019-9580750
TP162489,Kai Goh,CT107,1,3.95,013-6466803
TP190810,Muhammad binti Ibrahim,CT107,1,3.5,011-1802816
TP153668,Le Ng,BM101,3,2.6,012-7691126
TP187574,Faizal binti Zainal,CT106,1,2.4,018-9984440
TP193495,Ahmad binti Zainal,CT104,1,2.65,018-7193771
TP131893,Hao Wong,CT101,4,3.86,019-9156320
TP178027,Xin Chin,EE103,2,3.71,016-4181403
TP176708,Ibrahim binti Razali,PM102,1,3.59,013-1024722
TP184420,Hao Tan,CT103,2,2.72,012-8068470
TP160674,Yu Chua,HS103,4,3.22,017-6142784
TP105458,Li Foo,BM103,1,4.0,011-8737109
TP123660,Tian Koh,BM103,2,2.49,019-3019801
TP198203,Lavanya Chandran,CT103,2,3.45,014-2676603
TP168269,Harish Arumugam,BM105,1,3.56,012-1488037
TP136072,Nurul binti Razali,DT102,1,3.32,011-3067383
TP136036,Malika binti Razali,CT101,2,2.27,017-8335722
TP143698,Yong Chua,CT101,2,3.19,019-5473405
TP194785,Aisyah binti Ismail,DT102,1,3.26,013-2143380
TP196683,Azman bin Abdullah,CT107,1,3.74,014-9919418
TP172426,Athirah bin Ahmad,CT106,1,2.27,012-5894107
TP140719,Nurul bin Razali,CT106,1,3.11,018-9560460
TP104375,Dalila binti Othman,BM104,2,2.86,019-4487525
TP149098,Vijay Balakrishnan,BM105,1,2.96,012-1794862
TP141156,Farid binti Ibrahim,CT106,1,1.9,013-3088828
TP179862,Ravi Pillai,PM101,3,3.52,013-1775445
TP110406,Wei Chua,BM104,2,3.17,017-7382137
TP157501,Liyana binti Yusof,EE102,2,3.38,018-7701349
TP159787,Chen Ong,CT106,1,3.54,016-2119745
TP191129,Ramesh Balakrishnan,EE105,1,2.5,012-6861405
TP176281,Syafiq bin Abdullah,DT103,3,3.37,014-9571807
TP115319,Yong Koh,CT104,1,2.48,017-3103297
TP150353,Chen Lim,BM103,3,3.54,018-6489812
TP127809,Izzati binti Musa,BM102,3,2.13,019-8044093
TP145819,Raj Balakrishnan,CT102,1,2.71,013-1317782
TP183854,Wei Yap,EE101,1,2.78,019-7728730
TP125073,Nur binti Razali,CT107,1,3.24,018-4682447
TP193562,Ming Wong,CT107,1,3.68,011-8350052
TP152727,Farah binti Ahmad,CT105,1,3.21,016-9133592
TP163557,Rizal bin Zainal,CT101,2,2.22,014-7812407
TP188760,Jun Lim,CT101,4,2.55,019-8813010
TP146417,Azman binti Ahmad,EE101,2,1.5,014-4256881
TP189884,Tian Yap,EE103,3,2.78,011-3334293
TP152273,Zi Chin,CT105,1,2.71,013-2336782
TP109202,Athirah binti Musa,DT103,2,3.1,014-3914092
TP101727,Lavanya Balakrishnan,CT105,2,2.19,019-6018990
TP180124,Izzati bin Zainal,DT102,2,2.62,012-8548382
TP183983,Faizal binti Razali,CT103,2,3.17,019-4680630
TP101385,Tian Chua,DT102,1,1.63,018-6176905
TP173512,Suresh Murugasen,BM103,1,2.87,016-7916613
TP174059,Syafiq binti Zainal,CT104,1,3.62,016-2657432
TP103956,Hao Koh,DT102,2,1.22,019-8613703
TP127317,Farhana binti Zainal,CT101,4,1.46,014-4052856
TP101061,Nabilah binti Ibrahim,CT107,1,2.65,019-6535220
TP119676,Malika bin Othman,CT104,2,2.72,012-6458729
TP150446,Nurul binti Abdullah,CT106,1,3.48,016-8331453
TP197677,Abdullah binti Othman,CT106,1,2.06,013-3627391
TP177616,Hafiz bin Kamaruddin,BM104,1,3.2,012-7357071
TP189231,Zulkifli bin Abdullah,BM103,1,2.75,013-5154814
TP109044,Tian Lim,EE105,1,2.82,012-9659188
TP168951,Farah binti Ismail,CT105,3,3.33,018-9360620
TP189015,Athirah binti Ibrahim,EE104,3,2.96,018-4016395
TP199884,Yu Chew,CT102,1,3.66,011-8741293
TP131582,Rizal binti Musa,CT101,4,2.3,012-2036731
TP164341,Ming Ong,BM102,3,1.9,018-4858100
TP168569,Ling Chew,HS101,2,3.79,014-8202116
TP193974,Aisyah binti Razali,CT103,1,3.24,012-5484698
TP189282,Xiao Yong,CT102,4,2.78,014-8128375
TP107274,Faizal binti Abdullah,BM105,3,2.23,017-3379757
TP143632,Le Koh,BM103,1,2.75,014-1460861
TP182651,Jing Ng,BM101,2,3.58,013-7785720
TP132159,Amirul binti Ahmad,CT104,4,1.21,014-6330935
TP178298,Faizal binti Razali,BM102,2,3.3,019-1204251
TP186566,Jia Lim,EE101,4,3.33,019-5918229
TP104879,Nur binti Musa,CT101,1,2.81,012-8185142
TP177250,Aisyah bin Razali,BM103,1,2.5,014-5026775
TP164457,Farah binti Ismail,CT103,2,3.51,019-3238247
TP179571,Jing Goh,BM103,2,3.07,014-1965264
TP170242,Zi Ong,CT104,3,2.82,013-8041170
TP132228,Azman bin Abdullah,CT106,1,2.34,014-2166663
TP154635,Fang Chan,CT105,3,2.52,011-7267480
TP130389,Ling Chua,EE104,4,3.9,014-8542617
TP136885,Ramesh Appalasamy,CT104,4,2.61,019-1077537
TP155574,Izzat binti Yusof,CT101,1,2.71,019-4586188
TP131487,Wei Tan,BM101,3,3.3,011-9197292
TP118806,Ravi Chandran,EE102,2,2.23,018-7751544
TP116381,Hanis binti Razali,BM103,2,2.59,018-3383566
TP133757,Le Yap,EE103,3,2.85,019-3093053
TP119116,Hao Tan,EE104,2,3.07,017-9164132
TP171304,Hui Chua,CT105,1,2.95,018-4901927
TP141872,Xiao Ng,CT107,1,3.02,012-5199641
TP172912,Suresh Devaraj,BM101,1,3.73,014-7289041
TP111895,Naim binti Ismail,CT103,2,3.04,012-4620270
TP151742,Nadia binti Othman,PM101,1,2.38,014-6525085
TP114562,Farah bin Razali,BM105,3,2.63,011-4233508
TP160556,Aisyah binti Kamaruddin,BM102,1,3.99,012-4022476
TP146996,Ismail binti Ibrahim,HS103,1,2.76,011-8147787
TP171854,Jia Leong,CT102,2,2.06,016-8101330
TP182349,Hui Chew,CT104,4,3.45,013-2856073
TP145037,Rizal bin Othman,CT106,1,2.72,019-4457238
TP112924,Chen Chan,CT106,2,3.15,012-8203718
TP161497,Naim binti Abdullah,BM101,1,2.85,016-7501264
TP159311,Anand Nadarajan,BM101,3,2.86,013-3109607
TP110210,Kai Chan,CT102,2,1.69,018-8874782
TP136019,Ganesh Sundaram,CT104,3,3.31,017-1501405
TP150686,Nadia bin Ahmad,EE104,2,3.56,011-6627596
TP131494,Aisyah binti Kamaruddin,CT103,1,2.58,011-9713596
TP189983,Aisyah binti Yusof,BM103,3,3.67,013-5039946
TP190674,Suresh Krishnan,BM104,3,2.13,017-5422676
TP183628,Ramesh Krishnan,CT107,1,2.59,018-9191408
TP129196,Hanis bin Kamaruddin,PM101,2,3.56,018-2875364
TP112990,Jia Loh,PM101,1,3.27,013-7923018
TP138298,Farah binti Othman,BM104,1,3.61,014-7806206
TP162582,Athirah bin Musa,BM105,1,3.62,012-1407030
TP150137,Liyana binti Ismail,DT102,3,3.24,013-9396620
TP199537,Hao Chew,BM104,3,3.33,014-3042282
TP142524,Naim binti Razali,CT102,4,3.31,012-5917777
TP118013,Muhammad bin Abdullah,HS103,3,2.78,016-6311685
TP191241,Farid bin Musa,BM104,3,2.47,011-1831126
TP191809,Naim bin Kamaruddin,BM105,3,3.35,014-5444040
TP175465,Farhana bin Razali,CT106,1,3.77,018-4588896
TP129048,Ramesh Subramaniam,CT107,1,3.61,011-9397576
TP188646,Amirul bin Hassan,CT101,1,3.01,013-5838294
TP131836,Ling Chan,BM105,1,3.97,018-3847361
TP160356,Malika bin Abdullah,DT102,3,3.18,012-6322922
TP117559,Hafiz binti Ahmad,CT101,3,1.43,014-5895469
TP190184,Lavanya Raju,CT106,1,3.26,013-6680419
TP140786,Hui Ong,CT105,1,1.84,018-5590434
TP140064,Zi Wong,CT105,1,3.39,016-5285887
TP189337,Chen Goh,HS101,1,2.87,014-4335708
TP153293,Nabilah binti Abdullah,CT106,1,2.0,019-8069151
TP113200,Zi Chong,CT107,1,3.33,018-2124815
TP141230,Hui Teh,CT105,1,3.03,019-9831302
TP103448,Nur bin Musa,CT106,1,3.86,018-4310929
TP174209,Li Yong,BM105,2,1.08,011-4548337
TP157671,Liyana bin Hassan,CT104,1,2.89,013-7582063
TP104573,Raj Ramasamy,CT102,4,3.61,018-5980614
TP182218,Tian Teh,BM102,1,2.53,018-8454477
TP172592,Ling Yap,CT101,4,2.75,016-1111358
TP108655,Jia Goh,EE101,2,2.92,011-8066743
TP125727,Muhammad bin Othman,CT101,3,2.65,016-5643031
TP142298,Yong Wong,BM101,2,3.59,016-8036312
TP185150,Ming Teh,PM102,1,2.13,019-6261555
TP108831,Jing Yong,EE105,2,3.18,016-9574536
TP189611,Jia Ng,CT101,1,3.09,012-6801478
TP115502,Jing Tan,PM101,3,2.22,013-4186504
TP183398,Muthu Sundaram,CT105,3,3.15,013-4297618
TP108105,Azman binti Kamaruddin,BM102,1,3.38,014-2074462
TP178513,Faizal binti Razali,CT106,1,2.86,013-7814692
TP153741,Rizal binti Kamaruddin,CT102,3,2.63,016-5979474
TP128062,Fang Wong,EE105,1,2.85,019-2879840
TP131917,Farhana binti Zainal,CT104,1,2.54,019-2028470
TP191894,Ahmad bin Hassan,CT101,1,2.98,016-3504296
TP104626,Jia Goh,BM104,3,2.61,019-6930170
TP184842,Athirah binti Razali,CT103,1,3.67,014-9089767
TP153277,Dalila bin Ismail,PM102,1,3.02,013-8821516
TP188029,Haziq binti Ahmad,DT102,3,2.24,012-4924222
TP136334,Azri bin Musa,CT102,4,3.32,016-7375353
TP146795,Nur binti Musa,CT103,3,2.15,013-2614847
TP132632,Athirah bin Abdullah,CT103,4,2.72,019-6882178
TP191590,Ahmad bin Ibrahim,BM104,1,3.65,012-6442457
TP168513,Ramesh Nadarajan,HS101,3,2.77,016-2298335
TP114264,Zainab binti Zainal,CT101,1,3.48,011-2638025
TP131735,Naim bin Ahmad,EE104,4,2.87,019-2111952
TP168710,Nabilah bin Othman,CT106,1,3.66,012-5544032
TP184301,Arjun Menon,CT104,1,2.17,017-6065380
TP177033,Azman binti Othman,EE104,4,3.09,019-1099325
TP109740,Amirul binti Yusof,HS102,2,2.56,018-9589627
TP165228,Krishnan Govindasamy,CT107,1,3.59,016-6668121
TP150779,Ibrahim bin Razali,CT107,1,3.27,018-5767195
TP145218,Nur binti Othman,CT103,3,2.22,014-2621888
TP114116,Liyana bin Razali,CT104,1,3.38,019-6748018
TP112405,Azman bin Musa,BM101,2,3.05,012-2578542
TP132194,Syazwani binti Ahmad,BM103,3,2.35,014-5577620
TP109734,Nithya Selvam,EE101,3,1.96,017-2075486
TP149894,Ming Chew,CT101,3,2.36,018-5639529
TP127490,Nur bin Zainal,CT106,2,3.26,014-7951039
TP150134,Izzati binti Razali,EE104,3,3.09,017-4674549
TP144910,Jia Ong,CT106,1,3.76,012-6270814
TP192974,Malika bin Musa,CT103,1,3.61,013-3198758
TP191215,Chen Ong,CT106,1,3.7,014-4211069
TP162327,Farhana bin Ismail,CT104,2,2.56,018-9847453
TP160344,Harish Subramaniam,CT103,2,2.03,013-2966890
TP116167,Sanjay Chandran,CT107,1,2.07,014-8857822
TP153641,Zainab binti Othman,EE105,1,1.65,013-1158666
TP173463,Peng Lim,CT101,1,2.83,016-7047576
TP190449,Dalila binti Yusof,HS103,3,1.56,011-6165611
TP165710,Nurul bin Abdullah,HS101,2,2.71,019-9359350
TP166421,Liyana binti Abdullah,CT105,2,2.04,013-6895908
TP168816,Ahmad bin Musa,EE101,2,3.26,016-4909586
TP115909,Zi Loh,CT102,3,2.28,016-2334000
TP189733,Muhammad binti Ibrahim,CT107,1,3.67,013-8347763
TP153243,Farah bin Ibrahim,PM102,1,3.67,014-3998057
TP172329,Farid bin Abdullah,CT106,2,3.24,018-4900352
TP122471,Xiao Koh,HS103,4,3.58,019-1548553
TP165441,Jun Goh,CT106,2,3.27,014-9944436
TP113943,Nithya Ramasamy,BM105,1,3.73,014-3455527
TP154854,Azri binti Zainal,CT106,2,2.22,017-5251128
TP147688,Ibrahim binti Othman,BM102,3,3.62,017-5537168
TP108811,Ismail bin Abdullah,EE102,3,3.68,012-6525361
TP108346,Abdullah bin Othman,CT107,1,2.12,018-4760089
TP196473,Peng Chew,EE104,4,1.37,017-7165835
TP149690,Abdullah bin Ahmad,CT103,3,3.48,016-1070377
TP194569,Harish Nair,EE102,1,2.82,013-1049715
TP107483,Athirah binti Abdullah,CT102,4,1.65,014-7176754
TP103029,Kai Chin,BM101,2,3.67,016-2985474
TP134680,Nur bin Musa,CT106,2,2.98,016-3177034
TP135028,Muthu Sundaram,DT103,3,2.74,013-8053539
TP147805,Izzati binti Razali,DT102,3,2.57,011-6229348
TP149777,Dalila binti Ahmad,CT105,2,3.51,016-6278279
TP165008,Dalila binti Ahmad,HS101,3,3.61,012-6334486
TP195174,Hafiz binti Kamaruddin,CT107,1,1.83,014-9813250
TP170975,Zainab binti Zainal,DT102,1,2.85,018-7920729
TP199191,Nadia binti Zainal,BM104,2,2.83,013-7533245
TP118470,Tian Tan,BM104,2,3.11,018-3521661
TP128439,Kavitha Nadarajan,BM101,2,2.68,018-8656480
TP140538,Nurul binti Zainal,BM105,1,3.66,018-3919694
TP165852,Jing Cheong,CT106,2,3.68,018-9035909
TP181266,Ling Goh,EE101,1,3.24,014-4135653
TP168583,Abdullah bin Hassan,DT101,2,3.24,014-3376342
TP150972,Yu Chew,EE102,1,2.5,017-3785456
TP103897,Yong Teh,CT106,1,3.54,019-2247292
TP164963,Ganesh Nair,HS103,2,2.85,012-2265113
TP118905,Rizal binti Yusof,CT105,1,3.46,019-1958520
TP105232,Zainab binti Yusof,BM102,2,2.67,018-6015387
TP183303,Lavanya Vellu,CT107,1,2.9,014-8211024
TP178375,Jing Ng,CT107,1,3.48,016-5843655
TP140259,Ming Wong,PM102,2,2.19,018-4535421
TP133520,Hao Lim,BM101,1,1.47,011-6630443
TP105656,Azri bin Musa,DT102,2,2.68,018-6172931
TP144159,Azman bin Razali,EE101,2,3.8,018-5061319
TP102909,Deepa Menon,CT107,1,3.33,018-2637442
TP149107,Vijay Menon,DT101,2,2.77,013-6877112
TP100454,Malika binti Ibrahim,BM105,2,2.42,014-3271322
TP138785,Farid binti Zainal,CT107,1,3.17,014-3019659
TP193690,Zainab bin Musa,EE103,1,2.77,014-5493437
TP135935,Hanis bin Ibrahim,BM102,3,3.63,019-6571883
TP106219,Farah bin Hassan,BM103,2,3.74,016-8436411
TP189745,Yu Leong,BM101,1,2.71,012-7496231
TP147812,Azman binti Ismail,BM103,1,3.0,014-9578830
TP171011,Azman binti Zainal,EE104,4,2.63,014-1681666
TP137203,Farah binti Zainal,CT102,4,3.24,018-8031395
TP145931,Naim binti Yusof,CT104,1,3.17,016-1973348
TP147977,Malika binti Razali,PM102,2,3.57,013-3876274
TP113187,Ibrahim binti Zainal,BM101,1,2.1,016-4599920
TP188390,Tian Leong,CT106,2,2.2,013-1515924
TP144798,Xin Koh,DT103,3,1.61,014-8001691
TP125909,Amirah bin Musa,BM104,2,3.3,014-5526756
TP119278,Aisyah bin Abdullah,EE105,2,3.09,013-9419162
TP193526,Malika binti Kamaruddin,CT101,3,2.91,018-3981438
TP181240,Nabilah binti Ismail,CT107,1,2.12,016-1145467
TP113814,Ismail bin Ahmad,CT101,2,2.08,012-3346808
TP122605,Faizal binti Musa,BM105,2,1.9,014-6517918
TP119925,Fang Foo,CT107,1,2.65,017-6656621
TP130765,Hanis binti Musa,CT106,1,3.55,012-5854470
TP152741,Mala Nair,EE105,2,3.34,013-6965513
TP128564,Liyana bin Kamaruddin,EE102,1,3.22,018-4482723
TP183928,Ibrahim binti Musa,CT104,1,2.82,011-1809249
TP160324,Azman binti Musa,CT101,4,2.84,016-4425194
TP148107,Naim bin Hassan,CT106,1,2.67,013-3905217
TP107678,Farah bin Ibrahim,BM103,2,3.68,016-5354372
TP113164,Jing Yap,DT103,2,3.58,011-3296660
TP185535,Amirah bin Ibrahim,CT104,4,2.84,017-9312364
TP175503,Naim binti Abdullah,CT102,1,2.39,018-4545686
TP187623,Ismail binti Kamaruddin,BM101,3,3.03,013-1830368
TP195939,Farhana bin Ahmad,CT104,2,1.36,018-8132306
TP165486,Kai Foo,CT101,1,2.47,011-8598418
TP116056,Azman bin Ibrahim,BM101,3,2.57,012-2562338
TP176638,Farhana bin Kamaruddin,CT102,3,3.26,014-8581910
TP165630,Deepa Menon,EE101,1,2.97,017-3079817
TP157794,Chen Yap,CT107,1,2.89,017-3651100
TP110820,Chen Chua,PM101,3,3.24,011-9199259
TP154027,Azman binti Musa,BM103,3,2.83,019-4010823
TP172141,Ahmad binti Kamaruddin,CT103,4,3.46,011-6190474
TP169223,Rizal bin Othman,HS101,3,2.62,011-8882614
TP100284,Azman binti Abdullah,CT101,2,3.72,013-3267468
TP161916,Nur binti Ismail,CT102,1,2.84,018-6644188
TP130053,Amirul bin Ahmad,BM101,2,3.36,018-4520402
TP168582,Malika bin Kamaruddin,CT105,2,3.4,018-8043079
TP136748,Haziq binti Musa,CT102,1,3.48,014-8541646
TP159342,Haziq binti Kamaruddin,CT102,4,3.23,014-9531653
TP123757,Le Yap,CT103,3,3.35,016-5492240
TP123555,Muthu Sundaram,BM102,3,2.28,014-2034782
TP148177,Farhana bin Abdullah,CT104,1,3.57,016-8641031
TP195800,Peng Teh,CT102,2,2.77,018-8438715
TP149309,Jia Cheong,PM102,2,3.29,011-1065955
TP196377,Ravi Nadarajan,CT107,1,3.28,017-6867543
TP170149,Hao Ong,BM101,1,3.45,018-1867418
TP194017,Abdullah binti Abdullah,EE101,4,2.69,011-9171991
TP110253,Farah binti Zainal,CT104,1,2.85,014-5255650
TP158213,Krishnan Arumugam,CT106,2,3.57,012-4318969
TP112091,Muthu Balakrishnan,CT101,4,3.66,018-9706452
TP188048,Li Foo,CT107,1,3.64,012-4241938
TP176368,Hao Leong,EE103,4,2.13,012-6010189
TP171065,Abdullah bin Razali,CT103,4,2.52,013-7627859
TP170256,Dalila bin Musa,BM104,3,3.59,013-1544595
TP181062,Ravi Appalasamy,DT103,3,3.18,019-3837377
TP105728,Hafiz bin Zainal,PM101,2,3.67,011-8048666
TP185938,Naim bin Abdullah,CT102,2,2.44,019-7864194
TP136831,Mala Ramasamy,EE103,3,2.71,013-6293931
TP137366,Naim binti Musa,HS101,1,3.19,012-3077730
TP129639,Ibrahim binti Othman,HS101,3,1.43,012-6158947
TP195193,Li Yong,DT102,2,3.6,017-5904616
TP150948,Tian Chong,CT106,1,3.53,017-1358552
TP196499,Haziq bin Ismail,BM105,1,3.74,011-8085974
TP190947,Farhana bin Ismail,EE105,1,2.64,013-6080016
TP114689,Aisyah binti Yusof,BM104,1,3.11,012-7795921
TP160656,Ismail bin Razali,BM102,2,2.77,016-7200756
TP164393,Hafiz bin Abdullah,CT106,1,3.36,017-9872833
TP133654,Aisyah bin Ahmad,CT101,3,3.1,016-6158295
TP198684,Tian Leong,HS101,1,2.9,013-8339195
TP170623,Ming Lee,BM105,3,2.71,012-3675343
TP170961,Naim bin Musa,CT102,3,2.84,017-1594621
TP104716,Syafiq bin Ismail,CT102,3,2.33,014-3546325
TP161616,Hao Ng,CT102,1,3.51,013-3546569
TP173173,Malika binti Zainal,DT103,3,3.02,019-8738490
TP157258,Zi Chong,PM101,3,2.59,019-5607266
TP160707,Xiao Ong,BM102,3,3.25,019-5735214
TP119583,Jing Teh,CT102,4,3.12,018-2720485
TP158781,Wei Koh,EE103,1,3.43,016-3463256
TP163495,Syazwani binti Yusof,CT101,4,3.17,016-7805310
TP105404,Tian Goh,DT103,1,3.66,012-9591459
TP120960,Ahmad bin Kamaruddin,BM102,1,3.11,011-7215142
TP178720,Izzat bin Razali,BM104,3,3.87,017-7239697
TP163827,Raj Murugasen,CT103,1,2.73,016-7945312
TP129862,Nurul binti Razali,PM102,2,2.29,019-1060841
TP194947,Naim bin Kamaruddin,BM103,1,2.01,018-8861751
TP104876,Ravi Balakrishnan,DT102,2,3.24,018-9954313
TP143217,Yong Lee,BM101,1,3.56,011-2147789
TP193958,Peng Ong,EE105,1,3.3,018-3437126
TP105072,Izzati binti Razali,CT104,1,3.42,011-4456848
TP130172,Xiao Koh,PM102,1,2.78,019-5470545
TP103058,Syafiq bin Zainal,CT107,1,2.39,018-1600332
TP185097,Abdullah binti Yusof,CT107,1,3.56,013-7520395
TP130351,Haziq binti Ismail,DT103,3,2.69,017-3517953
TP117688,Haziq binti Abdullah,CT104,1,3.02,018-7416055
TP191796,Jing Ong,CT105,1,2.25,016-7275672
TP177871,Xiao Ong,PM101,2,3.01,018-3823001
TP113965,Muhammad bin Ahmad,DT101,3,2.92,019-3934294
TP182639,Azman binti Abdullah,EE102,3,2.92,014-9804402
TP105682,Chen Tan,CT105,3,2.55,019-6053565
TP178478,Yu Wong,EE103,4,3.51,012-8884983
TP185775,Zulkifli bin Ahmad,CT107,1,2.44,019-4777625
TP156472,Yong Loh,CT105,1,3.11,011-6216117
TP183233,Izzat binti Ismail,BM101,3,3.1,013-3576136
TP103504,Azman binti Ahmad,CT101,4,2.47,012-4004747
TP137009,Peng Tan,CT107,1,2.64,019-9462900
